,exp_ind_weight,ctrl_ind_weight,exp_weight,ctrl_weight,overall_r,ABOD_r,KNN_r,OCSVM_r
0,1,1,1,1,0.2802070034319197,0.1936290361938932,0.19105798892496464,0.20297218314173973
1,1,1,1,2,0.2539578338760625,0.14592173896656108,0.14312238331812738,0.14312238331812738
2,1,1,1,3,0.21007140992569776,0.1609809847201047,0.1833054031716055,-0.01216236654085932
3,1,1,1,4,0.18179222620585211,0.09965179217771114,0.1117796715413676,0.03172963180931965
4,1,1,1,5,0.1637889476958169,0.17262524196672585,0.07010899373635036,0.013508854755760255
5,1,1,1,6,0.15162327736370382,0.09521898572081404,0.049697272448189736,0.08567490097789142
6,1,1,1,7,0.1429330228453412,0.061557205913490426,0.04017031749046993,0.07627415726811658
7,1,1,1,8,0.13644292907685046,0.0914726248563392,0.03314923183150864,0.0692926047305682
8,1,1,1,9,0.13142265209140566,0.09214061001725626,0.02777478369190769,0.06391880538341015
9,1,1,1,10,0.1274288507317699,0.08404253046974626,0.023535149095211576,0.05966202852611695
10,1,1,2,1,0.24321983849414905,0.3839429093039937,0.22204049680372767,0.2525716998053395
11,1,1,2,2,0.2802070034319197,0.1936290361938932,0.19105798892496464,0.20297218314173973
12,1,1,2,3,0.27663278527225343,0.2221253259304544,0.179710462081088,0.1912164015368513
13,1,1,2,4,0.2539578338760625,0.14592173896656108,0.14312238331812738,0.14312238331812738
14,1,1,2,5,0.23004511926684346,0.0860945174011436,0.17181541705582135,-0.00010780954669721542
15,1,1,2,6,0.21007140992569776,0.1609809847201047,0.1833054031716055,-0.01216236654085932
16,1,1,2,7,0.1942607194602576,0.16973269980977898,0.12390202192326101,-0.004351435153554046
17,1,1,2,8,0.18179222620585211,0.09965179217771114,0.1117796715413676,0.03172963180931965
18,1,1,2,9,0.1718462550475133,0.1928229742842502,0.07239614636472183,0.02154890393834821
19,1,1,2,10,0.1637889476958169,0.17262524196672585,0.07010899373635036,0.013508854755760255
20,1,1,3,1,0.22323811259711998,0.3632949410308206,0.2918000467829166,0.2067544561391404
21,1,1,3,2,0.2601290962784376,0.39677022621114094,0.24107408521427395,0.2550583313252653
22,1,1,3,3,0.2802070034319197,0.1936290361938932,0.1910579889249646,0.2029721831417398
23,1,1,3,4,0.2812709902460913,0.2280415651363962,0.1519794261484168,0.19069379086844787
24,1,1,3,5,0.26997794167002803,0.13618010298204966,0.17045580774272534,0.19243048390837733
25,1,1,3,6,0.2539578338760625,0.14592173896656108,0.14312238331812746,0.14312238331812746
26,1,1,3,7,0.2376685046512028,0.1327815420129956,0.18123486593091226,0.005137851232208932
27,1,1,3,8,0.2228933336172368,0.13730700096924187,0.16310733438151592,-0.0046809614874684215
28,1,1,3,9,0.2100714099256979,0.16098098472010472,0.18330540317160554,-0.012162366540859093
29,1,1,3,10,0.1991150519807212,0.18179271984701315,0.16921886833422442,7.099526950633529e-05
30,1,1,4,1,0.2125700800570889,0.39424753420495495,0.2804818984952226,0.2623307085900081
31,1,1,4,2,0.24321983849414905,0.3839429093039937,0.22204049680372767,0.2525716998053395
32,1,1,4,3,0.26700962892082264,0.3495831510124772,0.22141813922845388,0.19887180894332512
33,1,1,4,4,0.2802070034319197,0.1936290361938932,0.19105798892496464,0.20297218314173973
34,1,1,4,5,0.2825013115063543,0.2249046416650577,0.15461891468047367,0.1954409639033977
35,1,1,4,6,0.27663278527225343,0.2221253259304544,0.179710462081088,0.1912164015368513
36,1,1,4,7,0.26618290208139245,0.13039306594936126,0.16547637084225833,0.18709908051199528
37,1,1,4,8,0.2539578338760625,0.14592173896656108,0.14312238331812738,0.14312238331812738
38,1,1,4,9,0.2416367669730599,0.12454240827927822,0.1861871077598796,0.08945682007262339
39,1,1,4,10,0.23004511926684346,0.0860945174011436,0.17181541705582135,-0.00010780954669721542
40,1,1,5,1,0.20605948282263012,0.3751496824123562,0.3226949033211492,0.26738257776510543
41,1,1,5,2,0.2315028181382021,0.3715995693054772,0.2534330482829896,0.24473391954456736
42,1,1,5,3,0.2538264524821912,0.36230345314178014,0.2078222438887602,0.2515979962132035
43,1,1,5,4,0.27056277400704554,0.3298065172391513,0.2253001965217276,0.200569215741124
44,1,1,5,5,0.2802070034319197,0.1936290361938932,0.19105798892496464,0.2029721831417398
45,1,1,5,6,0.28281013313938963,0.2261728543186137,0.15582127325010725,0.19781494047548148
46,1,1,5,7,0.27972385817015005,0.18502972188759825,0.18442686914367687,0.18630387537866613
47,1,1,5,8,0.2728194840993919,0.1397519301972258,0.17430833066273235,0.1578074962904078
48,1,1,5,9,0.2638108512726264,0.14363963849309502,0.16244422810126036,0.1837976652499525
49,1,1,5,10,0.2539578338760625,0.14592173896656094,0.1431223833181273,0.1431223833181273
50,1,1,6,1,0.20169598484484536,0.36422812202667604,0.3485342648469096,0.2643480825819545
51,1,1,6,2,0.22323811259711998,0.3632949410308206,0.2918000467829166,0.2067544561391404
52,1,1,6,3,0.24321983849414905,0.3839429093039938,0.22204049680372764,0.2525716998053396
53,1,1,6,4,0.2601290962784376,0.39677022621114094,0.24107408521427395,0.2550583313252653
54,1,1,6,5,0.2726813766096039,0.253176651141768,0.16580193398118825,0.2014743792538692
55,1,1,6,6,0.2802070034319197,0.1936290361938932,0.1910579889249646,0.2029721831417398
56,1,1,6,7,0.2828188598101445,0.22680587274248845,0.15644756935197918,0.19917490711843616
57,1,1,6,8,0.2812709902460913,0.2280415651363962,0.1519794261484168,0.19069379086844787
58,1,1,6,9,0.2766327852722536,0.22212532593045445,0.179710462081088,0.19121640153685127
59,1,1,6,10,0.26997794167002803,0.13618010298204966,0.17045580774272534,0.19243048390837733
60,1,1,7,1,0.19857448811046105,0.3612834092564214,0.345037437793559,0.2621220680276944
61,1,1,7,2,0.217177527720468,0.3565051956524066,0.3221647697650793,0.20426918254287968
62,1,1,7,3,0.23494470708903475,0.3753300722619595,0.2057344358584524,0.2470609287873053
63,1,1,7,4,0.2509278313083479,0.35885877714450426,0.2349638283613336,0.25753191634583283
64,1,1,7,5,0.2642035068634669,0.3436408548150238,0.2184239840264625,0.19742807592042014
65,1,1,7,6,0.27407005482229074,0.2565286890590837,0.16682350237798982,0.20200351446474385
